t,vx,vy,r,x,y,psi,df,dr,Fx_f,Fx_r,Fy_f,Fy_r,alpha_f,alpha_r,ay
5.799999999999999822e+00,4.408823621332971499e+01,-5.384642972125493365e+00,-1.740107964460356094e+00,1.698468304225586110e+02,1.265355813830909604e+01,-6.197133059996127180e+00,3.272492347489367598e-02,-9.682287526548591372e-02,0.000000000000000000e+00,0.000000000000000000e+00,-7.561130471304008097e+03,3.485897703784329224e+03,-2.006250385727941510e-01,3.790782159496119963e-02,-2.725007501065235260e+00
5.810000000000000497e+00,4.418583068649073198e+01,-4.644710137397900951e+00,-1.798587212500526444e+00,1.702907093169349366e+02,1.263780306416761157e+01,-6.214534139640730537e+00,3.272492347489367598e-02,-9.974683766749442571e-02,0.000000000000000000e+00,0.000000000000000000e+00,-7.567203898916530306e+03,4.588798763629940368e+03,-1.854890961236005387e-01,5.977860392310099802e-02,-1.998108405656608966e+00
5.820000000000000284e+00,4.427406685913318540e+01,-3.869970520990110963e+00,-1.864112677825840780e+00,1.707347129410327682e+02,1.262177563893581755e+01,-6.232520011765736001e+00,3.272492347489367598e-02,-1.030231109337601536e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.565402934654331148e+03,5.195081168365976737e+03,-1.697941541403330534e-01,8.298267872001129086e-02,-1.595877636372222241e+00
5.830000000000000071e+00,4.435141947157487863e+01,-3.060610804043642386e+00,-1.933479398536247285e+00,1.711788453729329262e+02,1.260554758475563375e+01,-6.251161138543994689e+00,3.272492347489367598e-02,-1.064914469692804788e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.549414822163410463e+03,5.489443366366727787e+03,-1.534565044324262273e-01,1.072345173814877040e-01,-1.391350879719624345e+00
5.839999999999999858e+00,4.441613231378507720e+01,-2.216998754399544413e+00,-2.004630605125259812e+00,1.716231121323191360e+02,1.258915791519804550e+01,-6.270495932529357219e+00,3.272492347489367598e-02,-1.100490072987310997e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.507525225083248188e+03,5.618960745815135851e+03,-1.364253889913087936e-01,1.323437470818262518e-01,-1.279023693960724017e+00
5.850000000000000533e+00,4.446632663604975022e+01,-1.339409609364085707e+00,-2.076391240406266547e+00,1.720675190121860396e+02,1.257262569071884961e+01,-6.290542238580609791e+00,3.272492347489367598e-02,-1.136370390627814420e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.417472077138917484e+03,5.666985727306476292e+03,-1.186695474423969388e-01,1.581989330623062850e-01,-1.188710363275433224e+00
5.860000000000000320e+00,4.450003993494978261e+01,-4.280018017954645426e-01,-2.148010828419407492e+00,1.725120717064685039e+02,1.255596062946036007e+01,-6.311306150984672847e+00,3.272492347489367598e-02,-1.172180184634384892e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.235731957408434027e+03,5.675502828224497534e+03,-1.001643421976158299e-01,1.847290366110772297e-01,-1.063534192649711940e+00
5.870000000000000107e+00,4.451523676184267231e+01,5.172285327317204251e-01,-2.218797708156059034e+00,1.729567758264355462e+02,1.253917016610191659e+01,-6.332786259268867290e+00,3.272492347489367598e-02,-1.207573624502710635e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.875515217936542285e+03,5.665046846450263729e+03,-8.088079741609116580e-02,2.118731962368004818e-01,-8.320278578563744531e-01
5.879999999999999893e+00,4.450980980873644199e+01,1.496611307205165442e+00,-2.287774781307641003e+00,1.734016371573600566e+02,1.252226516152095037e+01,-6.354974236350427574e+00,3.272492347489367598e-02,-1.242062161078501537e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.166151223004108942e+03,5.645724616240881005e+03,-6.077247024215355620e-02,2.395551358796295660e-01,-3.737453541530584289e-01
5.889999999999999680e+00,4.448157860123163942e+01,2.511158057675902278e+00,-2.353210743538038496e+00,1.738466622865763043e+02,1.250526704905110087e+01,-6.377851984163504184e+00,3.272492347489367598e-02,-1.274780142193700228e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.806956164805853405e+03,5.622619850130070517e+03,-3.975456796338885934e-02,2.676514236066106500e-01,5.150757517623247850e-01
