t,vx,vy,r,x,y,psi,df,dr,Fx_f,Fx_r,Fy_f,Fy_r,alpha_f,alpha_r,ay
4.379999999999999893e+00,-2.256643828919899164e+01,-2.733161090375010716e+01,-1.685800708197466635e+00,1.125395960187204878e+02,9.499359873290616818e+00,-3.972762843397867893e+00,0.000000000000000000e+00,-8.429003540987334286e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.625269775128956098e+03,-5.002125162832772730e+03,-1.553764851831747951e+00,-1.466212199316168974e+00,-7.739757254430344346e+00
4.389999999999999680e+00,-2.210848933381116055e+01,-2.778943365278867006e+01,-1.685702060036379679e+00,1.128936007103892365e+02,9.516875222043461591e+00,-3.989620850479842495e+00,0.000000000000000000e+00,-8.428510300181898951e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.625138774429088699e+03,-5.001981806371685707e+03,-1.554026284660502188e+00,-1.466587437119161397e+00,-7.739576073672836287e+00
4.400000000000000355e+00,-2.164284956868672083e+01,-2.823951267366837570e+01,-1.685603684002726199e+00,1.132482547644356430e+02,9.534883394772817766e+00,-4.006477871080206477e+00,0.000000000000000000e+00,-8.428018420013631828e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.625013857352944797e+03,-5.001845800376077023e+03,-1.554275588143710030e+00,-1.466943460419599443e+00,-7.739403827601691432e+00
4.410000000000000142e+00,-2.116965035337823764e+01,-2.868171938159734324e+01,-1.685505562460102968e+00,1.136035664422577725e+02,9.553374283154276725e+00,-4.023333907920234154e+00,0.000000000000000000e+00,-8.427527812300515675e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624894695677714481e+03,-5.001716678399307966e+03,-1.554513415734328330e+00,-1.467281486335491270e+00,-7.739239987795507147e+00
4.419999999999999929e+00,-2.068902519298044851e+01,-2.911592741573484489e+01,-1.685407679168856587e+00,1.139595438337883024e+02,9.572337642456304252e+00,-4.040188963544835588e+00,0.000000000000000000e+00,-8.427038395844282936e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624780986149943601e+03,-5.001594014715357844e+03,-1.554740371234526686e+00,-1.467602625896624380e+00,-7.739084069509594599e+00
4.429999999999999716e+00,-2.020110970019574026e+01,-2.954201267577761314e+01,-1.685310019146443850e+00,1.143161948552192371e+02,9.591763094412067758e+00,-4.057043040336524520e+00,0.000000000000000000e+00,-8.426550095732220080e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624672448230192458e+03,-5.001477420058408825e+03,-1.554957013274399058e+00,-1.467907895125756257e+00,-7.738935627344325496e+00
4.440000000000000391e+00,-1.970604155679193070e+01,-2.995985335780721925e+01,-1.685212568544116385e+00,1.146735272467771125e+02,9.611640130132837356e+00,-4.073896140527988763e+00,0.000000000000000000e+00,-8.426062842720583035e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624568822080740574e+03,-5.001366537890071413e+03,-1.555163859308682062e+00,-1.468198224749735381e+00,-7.738794251425638038e+00
4.450000000000000178e+00,-1.920396047446513421e+01,-3.036932998939905914e+01,-1.685115314537734443e+00,1.150315485705493614e+02,9.631958113061687143e+00,-4.090748266213429574e+00,0.000000000000000000e+00,-8.425576572688672772e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624469866766422456e+03,-5.001261041119676520e+03,-1.555361389190628163e+00,-1.468474468733666605e+00,-7.738659564028509408e+00
4.459999999999999964e+00,-1.869500815512051872e+01,-3.077032546399232871e+01,-1.685018245230844647e+00,1.153902662083622914e+02,9.652706281966255020e+00,-4.107599419358806792e+00,0.000000000000000000e+00,-8.425091226154224344e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624375358642926585e+03,-5.001160629214978144e+03,-1.555550048374007677e+00,-1.468737411800703274e+00,-7.738531216584508599e+00
4.469999999999999751e+00,-1.817932825058369417e+01,-3.116272507451934715e+01,-1.684921349568434090e+00,1.157496873597112312e+02,9.673873753969356670e+00,-4.124449601811114974e+00,0.000000000000000000e+00,-8.424606747842171284e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624285089910263196e+03,-5.001065025650334974e+03,-1.555730250787301427e+00,-1.468987776074858198e+00,-7.738408887023538796e+00
4.480000000000000426e+00,-1.765706632175548307e+01,-3.154641654629179470e+01,-1.684824617260002988e+00,1.161098190397433996e+02,9.695449527616254670e+00,-4.141298815306798886e+00,0.000000000000000000e+00,-8.424123086300015772e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624198867312177754e+03,-5.000973975647438238e+03,-1.555902381418253100e+00,-1.469226226963320947e+00,-7.738292277407033737e+00
4.490000000000000213e+00,-1.712836979722290565e+01,-3.192129006914072775e+01,-1.684728038710791909e+00,1.164706680772939507e+02,9.717422485977449398e+00,-4.158147061479398943e+00,0.000000000000000000e+00,-8.423640193553960653e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624116510964787267e+03,-5.000887244170416125e+03,-1.556066798641937421e+00,-1.469453378377384212e+00,-7.738181111816228253e+00
4.500000000000000000e+00,-1.659338793133916568e+01,-3.228723832880677236e+01,-1.684631604960161733e+00,1.168322411129757796e+02,9.739781399785840676e+00,-4.174994341866506531e+00,0.000000000000000000e+00,-8.423158024800808663e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624037853299852031e+03,-5.000804614142754872e+03,-1.556223836321218856e+00,-1.469669797376568221e+00,-7.738075134464018845e+00
4.509999999999999787e+00,-1.605227176178553705e+01,-3.264415653757640001e+01,-1.684535307626265466e+00,1.171945445973235138e+02,9.762514930607141039e+00,-4.191840657916108270e+00,0.000000000000000000e+00,-8.422676538131328161e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623962738109986276e+03,-5.000725884858153222e+03,-1.556373805704789781e+00,-1.469876008308335535e+00,-7.737974108003598417e+00
4.520000000000000462e+00,-1.550517406662806152e+01,-3.299194246415983400e+01,-1.684439138856262730e+00,1.175575847889921874e+02,9.785611634042435725e+00,-4.208686010992370718e+00,0.000000000000000000e+00,-8.422195694281314760e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623891019684737330e+03,-5.000650870561337797e+03,-1.556516997144829162e+00,-1.470072496505572035e+00,-7.737877812010470535e+00
4.530000000000000249e+00,-1.495224932088206238e+01,-3.333049646280601053e+01,-1.684343091281431226e+00,1.179213677530110829e+02,9.809059962961793389e+00,-4.225530402380933026e+00,0.000000000000000000e+00,-8.421715456407156963e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623822562027709864e+03,-5.000579399178296626e+03,-1.556653681653597632e+00,-1.470259711595348184e+00,-7.737786041617646049e+00
4.540000000000000036e+00,-1.439365365259753382e+01,-3.365972150164964205e+01,-1.684247157976612064e+00,1.182858993590932215e+02,9.832848270767836851e+00,-4.242373833293747509e+00,0.000000000000000000e+00,-8.421235789883060874e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623757238146279633e+03,-5.000511311178091091e+03,-1.556784112315929169e+00,-1.470438070465170499e+00,-7.737698606286631531e+00
4.549999999999999822e+00,-1.382954479847853158e+01,-3.397952319028537715e+01,-1.684151332423498681e+00,1.186511852800007887e+02,9.856964814688199183e+00,-4.259216304873513437e+00,0.000000000000000000e+00,-8.420756662117494240e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623694929406293340e+03,-5.000446458550924945e+03,-1.556908525572556989e+00,-1.470607959926711894e+00,-7.737615328698883133e+00
4.560000000000000497e+00,-1.326008205904977366e+01,-3.428980980656404398e+01,-1.684055608477339927e+00,1.190172309899671887e+02,9.881397759095783329e+00,-4.276057818197748439e+00,0.000000000000000000e+00,-8.420278042386700190e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623635524945177167e+03,-5.000384703889051707e+03,-1.557027142387433560e+00,-1.470769739111723817e+00,-7.737536043754474235e+00
4.570000000000000284e+00,-1.268542625338372787e+01,-3.459049232260571216e+01,-1.683959980336682927e+00,1.193840417631758299e+02,9.906135178855766554e+00,-4.292898374282521523e+00,0.000000000000000000e+00,-8.419799901683415466e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623578921137565885e+03,-5.000325919558971691e+03,-1.557140169310672118e+00,-1.470923741630306480e+00,-7.737460597666370177e+00
4.580000000000000071e+00,-1.210573967340157076e+01,-3.488148443002447863e+01,-1.683864442515826454e+00,1.197516226722963353e+02,9.931165062698275037e+00,-4.309737974085888546e+00,0.000000000000000000e+00,-8.419322212579133380e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623525021108263900e+03,-5.000269986954761407e+03,-1.557247799447402548e+00,-1.471070277517850133e+00,-7.737388847140135084e+00
4.589999999999999858e+00,-1.152118603776142258e+01,-3.516270256435981878e+01,-1.683768989819693696e+00,1.201199785870782932e+02,9.956475316615668092e+00,-4.326576618511047023e+00,0.000000000000000000e+00,-8.418844949098469588e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623473734287973457e+03,-5.000216795823721441e+03,-1.557350213341657019e+00,-1.471209634993623006e+00,-7.737320658630117975e+00
4.600000000000000533e+00,-1.093193044534741531e+01,-3.543406592870937999e+01,-1.683673617320869953e+00,1.204891141730031308e+02,9.982053767283378676e+00,-4.343414308409244029e+00,0.000000000000000000e+00,-8.418368086604349765e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623424976007696387e+03,-5.000166243656611186e+03,-1.557447579783382663e+00,-1.471342082051134703e+00,-7.737255907664344790e+00
4.610000000000000320e+00,-1.033813932837316507e+01,-3.569549651655820810e+01,-1.683578320338578349e+00,1.208590338899942935e+02,1.000788816550323546e+01,-4.360251044582453162e+00,0.000000000000000000e+00,-8.417891601692892301e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623378667128158668e+03,-5.000118235135668328e+03,-1.557540056545774432e+00,-1.471467867897908954e+00,-7.737194478231074868e+00
