t,vx,vy,r,x,y,psi,df,dr,Fx_f,Fx_r,Fy_f,Fy_r,alpha_f,alpha_r,ay
7.330000000000000071e+00,-1.411967744386361012e+01,5.279286565349347171e+01,3.663907764788836702e-02,2.515509041646384389e+02,-7.900801099231382807e+01,-2.600502934930917665e+00,3.272492347489367598e-02,-7.985523160073683055e-03,5.413505790634424557e+03,4.066885865431942420e+03,5.564882857833419621e+03,4.167753982422327681e+03,1.528608590133191170e+00,1.569300628873900871e+00,6.582782350214474221e+00
7.339999999999999858e+00,-1.403814417810892756e+01,5.286386679657790211e+01,3.772148398063095848e-02,2.519438510810554988e+02,-7.938779766451413877e+01,-2.600136544154438845e+00,3.272492347489367598e-02,-7.931402843436553829e-03,5.413508661087951623e+03,4.066878963090087836e+03,5.564880351659992812e+03,4.167760027383269517e+03,1.528621520243603982e+00,1.569258945574608877e+00,6.582932735465321095e+00
7.350000000000000533e+00,-1.395601421437927847e+01,5.293499152023987619e+01,3.880241961274000922e-02,2.523366043434495509e+02,-7.976846899958415804e+01,-2.599759329314632605e+00,3.272492347489367598e-02,-7.877356061831101292e-03,5.413511528519407875e+03,4.066872071220787348e+03,5.564877848122666364e+03,4.167766063153528194e+03,1.528634436763873561e+00,1.569217325747524816e+00,6.583082906680162161e+00
7.360000000000000320e+00,-1.387328674420253272e+01,5.300623762050335586e+01,3.988188662736222995e-02,2.527291643078623622e+02,-8.015002507716671687e+01,-2.599371305118505227e+00,3.272492347489367598e-02,-7.823382711099989908e-03,5.413514392834609680e+03,4.066865189733640364e+03,5.564875347303674062e+03,4.167772089812366175e+03,1.528647339269653793e+00,1.569175768845662899e+00,6.583232864284237706e+00
7.370000000000000107e+00,-1.378996095801573496e+01,5.307760287763701257e+01,4.095988710444806863e-02,2.531215313399451929e+02,-8.053246597889052794e+01,-2.598972486252231651e+00,3.272492347489367598e-02,-7.769482687245698148e-03,5.413517253939776310e+03,4.066858318538548247e+03,5.564872849284904987e+03,4.167778107438771258e+03,1.528660227338450417e+00,1.569134274323931377e+00,6.583382608701818128e+00
7.379999999999999893e+00,-1.370603604527323505e+01,5.314908505616418211e+01,4.203642312075724086e-02,2.535137058149481959e+02,-8.091579178835564790e+01,-2.598562887381187014e+00,3.272492347489367598e-02,-7.715655886430240057e-03,5.413520111741551773e+03,4.066851457545732501e+03,5.564870354147875332e+03,4.167784116111459298e+03,1.528673100549634345e+00,1.569092841639147418e+00,6.583532140356201268e+00
7.390000000000000568e+00,-1.362151119455532999e+01,5.322068190487281925e+01,4.311149674986410746e-02,2.539056881177098148e+02,-8.130000259111875494e+01,-2.598142523149979510e+00,3.272492347489367598e-02,-7.661902204974896380e-03,5.413522966146988438e+03,4.066844606665728406e+03,5.564867861973744766e+03,4.167790115908858752e+03,1.528685958484452545e+00,1.569051470250049984e+00,6.583681459669703528e+00
7.400000000000000355e+00,-1.353638559367739980e+01,5.329239115682543826e+01,4.418511006216321868e-02,2.542974786426462401e+02,-8.168509847467809948e+01,-2.597711408182481030e+00,3.272492347489367598e-02,-7.608221539359940472e-03,5.413525817063564318e+03,4.066837765809392295e+03,5.564865372843304613e+03,4.167796106909125228e+03,1.528698800726037810e+00,1.569010159617312716e+00,6.583830567063674089e+00
7.410000000000000142e+00,-1.345065842979954951e+01,5.336421052936908183e+01,4.525726512487467101e-02,2.546890777937409780e+02,-8.207107952845814225e+01,-2.597269557081859581e+00,3.272492347489367598e-02,-7.554613786224368549e-03,5.413528664399173977e+03,4.066830934887894273e+03,5.564862886836978760e+03,4.167802089190134211e+03,1.528711626859419415e+00,1.568968909203557249e+00,6.583979462958475359e+00
7.419999999999999929e+00,-1.336432888953673626e+01,5.343613772414528285e+01,4.632796400204956117e-02,2.550804859845345050e+02,-8.245794584379399339e+01,-2.596816984430610820e+00,3.272492347489367598e-02,-7.501078842365623001e-03,5.413531508062142166e+03,4.066824113812736414e+03,5.564860404034820931e+03,4.167808062829470146e+03,1.528724436471532444e+00,1.568927718473364541e+00,6.584128147773494533e+00
