t,vx,vy,r,x,y,psi,df,dr,Fx_f,Fx_r,Fy_f,Fy_r,alpha_f,alpha_r,ay
7.940000000000000391e+00,-2.916623111677673919e+01,-4.277921746122113689e+01,-9.502647634022446388e-01,2.677200805358110642e+02,5.161236552093732399e+01,-4.021982043251267847e+00,2.044013060147603384e-03,-4.812644208815651525e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.621418228806071966e+03,-4.985257174830485383e+03,-1.561456376006394864e+00,-1.510551849282868453e+00,-7.733926248687453153e+00
7.950000000000000178e+00,-2.876122392604485611e+01,-4.313371314082320396e+01,-9.501788006579223733e-01,2.682356481352990727e+02,5.165993755866274739e+01,-4.031484690885290156e+00,1.706435299092513846e-03,-4.802087062262387629e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.621541562584894564e+03,-4.985178065417206199e+03,-1.561209913886525857e+00,-1.510760681712190134e+00,-7.733975447638474776e+00
7.959999999999999964e+00,-2.835289653696436929e+01,-4.348433594785461764e+01,-9.500937938856809373e-01,2.687518494516467626e+02,5.170798672207676816e+01,-4.040986478891869460e+00,1.367173492417612284e-03,-4.791484174200933560e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.621666955113645599e+03,-4.985099863387131336e+03,-1.560959348875763153e+00,-1.510967126876635369e+00,-7.734026165804948505e+00
7.969999999999999751e+00,-2.794128599927552870e+01,-4.383105531989719594e+01,-9.500097432801645203e-01,2.692686890708835108e+02,5.175650712472729253e+01,-4.050487416830725884e+00,1.026562450566588991e-03,-4.780845589917821076e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.621794203121964529e+03,-4.985022572676609343e+03,-1.560705087686961257e+00,-1.511171174105021997e+00,-7.734078244755075104e+00
7.980000000000000426e+00,-2.752642962161916174e+01,-4.417384104173564197e+01,-9.499266481272938822e-01,2.697861715222196040e+02,5.180549283625765611e+01,-4.059987514263527331e+00,6.849383155152045195e-04,-4.770181390101925489e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.621923104193531799e+03,-4.984946198898075636e+03,-1.560447535260494289e+00,-1.511372808302719140e+00,-7.734131529807275029e+00
7.990000000000000213e+00,-2.710836496870819801e+01,-4.451266324728747747e+01,-9.498445068110834555e-01,2.703043012775503371e+02,5.185493788303050167e+01,-4.069486780744799859e+00,3.426382290400114389e-04,-4.759501680926617878e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.622053456851592273e+03,-4.984870749219003301e+03,-1.560187094591236168e+00,-1.511572010270560762e+00,-7.734185870052339595e+00
8.000000000000000000e+00,-2.668712985850893560e+01,-4.484749242152957294e+01,-9.497633168216805810e-01,2.708230827509685241e+02,5.190483624875916746e+01,-4.078985225812910898e+00,9.351176983369811054e-18,-4.748816584108403460e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.622185060650027481e+03,-4.984796232246138970e+03,-1.559924166544757407e+00,-1.511768757009720909e+00,-7.734241118374264090e+00
8.009999999999999787e+00,-2.626276235943085524e+01,-4.517829940242199882e+01,-9.496830747645679249e-01,2.713425202982849100e+02,5.195518187514639408e+01,-4.088482858981127954e+00,-3.426382290399927364e-04,-4.738136226951639857e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.622317716269497396e+03,-4.984722657914800038e+03,-1.559659149663763289e+00,-1.511963022013514513e+00,-7.734297131469407560e+00
8.019999999999999574e+00,-2.583530078752376369e+01,-4.550505538282984475e+01,-9.496037763708680135e-01,2.718626182165575642e+02,5.200596866253015094e+01,-4.097979689728773245e+00,-6.849383155151858712e-04,-4.727470732388885238e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.622451225618200624e+03,-4.984650037382743903e+03,-1.559392439965737953e+00,-1.512154775547012164e+00,-7.734353769863062666e+00
8.029999999999999361e+00,-2.540478370368105843e+01,-4.582773191244357491e+01,-9.495254165086908227e-01,2.723833807436293455e+02,5.205719047053632664e+01,-4.107475727492482243e+00,-1.026562450566531745e-03,-4.716830209026458276e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.622585391936687301e+03,-4.984578382928448264e+03,-1.559124430732714783e+00,-1.512343984915253348e+00,-7.734410897923126527e+00
8.040000000000000924e+00,-2.497124991084783829e+01,-4.614630089969831772e+01,-9.494479891954625828e-01,2.729048120576749170e+02,5.210884111873814817e+01,-4.116970981657568807e+00,-1.367173492417632016e-03,-4.706224741204784179e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.622720019906410926e+03,-4.984507707853436841e+03,-1.558855512294035517e+00,-1.512530614720796640e+00,-7.734468383870261476e+00
8.050000000000000711e+00,-2.453473845123263786e+01,-4.646073461369253721e+01,-9.493714876111752909e-01,2.734269162767562875e+02,5.216091438732196650e+01,-4.126465461549523539e+00,-1.706435299092495415e-03,-4.695664379083101803e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.622854915761522534e+03,-4.984438026388423168e+03,-1.558586071802934514e+00,-1.512714627111247490e+00,-7.734526099784197584e+00
8.060000000000000497e+00,-2.409528860352149948e+01,-4.677100568610635634e+01,-9.492959041124965358e-01,2.739496974583877318e+02,5.221340401775930218e+01,-4.135959176425635597e+00,-2.044013060147623333e-03,-4.685159128758054070e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.622989887403544344e+03,-4.984369353603053241e+03,-1.558316493007731562e+00,-1.512895982017373520e+00,-7.734583921605789669e+00
8.070000000000000284e+00,-2.365293988009313253e+01,-4.707708711311973104e+01,-9.492212302476783492e-01,2.744731595991102608e+02,5.226630371348484516e+01,-4.145452135466760168e+00,-2.379573627089034190e-03,-4.674718942425720725e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623124744518532680e+03,-4.984301705319041503e+03,-1.558047156018384616e+00,-1.513074637382337384e+00,-7.734641729134573040e+00
8.080000000000000071e+00,-2.320773202423387360e+01,-4.737895225733063853e+01,-9.491474567722051336e-01,2.749973066340753007e+02,5.231960714058014617e+01,-4.154944347769236934e+00,-2.712785842149914584e-03,-4.664353708596528925e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623259298696364567e+03,-4.984235098026503692e+03,-1.557778437069126998e+00,-1.513250549382542332e+00,-7.734699406021565693e+00
8.089999999999999858e+00,-2.275970500735121504e+01,-4.767657484967337922e+01,-9.490745736651211573e-01,2.755221424366382621e+02,5.237330792846283600e+01,-4.164435822336958637e+00,-3.043320865103234674e-03,-4.654073242372509106e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623393363551806942e+03,-4.984169548803311045e+03,-1.557510708277866973e+00,-1.513423672640534123e+00,-7.734756839757142899e+00
8.099999999999999645e+00,-2.230889902618461917e+01,-4.796992899133690713e+01,-9.490025701459778862e-01,2.760476708179617162e+02,5.242739967058098216e+01,-4.173926568073610177e+00,-3.370852497787240817e-03,-4.643887275796272640e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623526754847051961e+03,-4.984105075237349411e+03,-1.557244337403021373e+00,-1.513593960430361651e+00,-7.734813921653870494e+00
8.109999999999999432e+00,-2.185535450001238544e+01,-4.825898915568321002e+01,-9.489314346923430898e-01,2.765738955266286894e+02,5.248187592511248312e+01,-4.183416593775070247e+00,-3.695057506023921839e-03,-4.633805448280998301e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623659290615346436e+03,-4.984041695351465933e+03,-1.556979687598400552e+00,-1.513761364875762183e+00,-7.734870546824172521e+00
8.120000000000000995e+00,-2.139911206785334841e+01,-4.854373019016551893e+01,-9.488611550578148757e-01,2.771008202482659044e+02,5.253673021566910961e+01,-4.192905908121993264e+00,-4.015615938611855930e-03,-4.623837297130718726e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623790791285467094e+03,-4.983979427531088731e+03,-1.556717117166761977e+00,-1.513925837141502750e+00,-7.734926614152886515e+00
8.130000000000000782e+00,-2.094021258566216659e+01,-4.882412731824619812e+01,-9.487917182904831437e-01,2.776284486051771410e+02,5.259195603200498681e+01,-4.202394519672571604e+00,-4.332211443079567702e-03,-4.613992248160028731e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.623921079806689704e+03,-4.983918290454294947e+03,-1.556456979312610178e+00,-1.514087327618174106e+00,-7.734982026264642485e+00
8.140000000000000568e+00,-2.047869712351703342e+01,-4.910015614131403083e+01,-9.487231107517849482e-01,2.781567841559867702e+02,5.264754683072923314e+01,-4.211882436855476364e+00,-4.644531577887150813e-03,-4.604279606422310989e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624049981774014668e+03,-4.983858303024288034e+03,-1.556199621894802654e+00,-1.514245786100714142e+00,-7.735036689486129546e+00
8.150000000000000355e+00,-2.001460696279859874e+01,-4.937179264060056028e+01,-9.486553181356992548e-01,2.786858303952937490e+02,5.270349603602252131e+01,-4.221369667962994399e+00,-4.952268120768486478e-03,-4.594708547055442044e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624177325553338051e+03,-4.983799484304175166e+03,-1.555945387179502593e+00,-1.514401161960899689e+00,-7.735090513803427825e+00
8.160000000000000142e+00,-1.954798359335899249e+01,-4.963901317909514432e+01,-9.485883254882300220e-01,2.792155907533360164e+02,5.275979704035719919e+01,-4.230856221144351004e+00,-5.255117372909165474e-03,-4.585288106253875007e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624302942406321563e+03,-4.983741853453951990e+03,-1.555694611593995802e+00,-1.514553404314032070e+00,-7.735143412814426966e+00
8.169999999999999929e+00,-1.907886871067977808e+01,-4.990179450345824819e+01,-9.485221172271264267e-01,2.797460685956652924e+02,5.281644320522082836e+01,-4.240342104399233314e+00,-5.552780458660792721e-03,-4.576027172375808638e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624426666614666829e+03,-4.983685429669633777e+03,-1.555447625481870322e+00,-1.514702462180015585e+00,-7.735195303676565715e+00
8.179999999999999716e+00,-1.860730421301775905e+01,-5.016011374593253436e+01,-9.484566771617928271e-01,2.802772672228323358e+02,5.287342786184271404e+01,-4.249827325571504666e+00,-5.844963620495064946e-03,-4.566934477194112274e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624548335603613850e+03,-4.983630232124435679e+03,-1.555204752860043449e+00,-1.514848284639008780e+00,-7.735246107050091524e+00
8.189999999999999503e+00,-1.813333219853755196e+01,-5.041394842625120987e+01,-9.483919885133414995e-01,2.808091898700830598e+02,5.293074431192327012e+01,-4.259311892343122352e+00,-6.131378508906885211e-03,-4.558018587299501184e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.624667790064352630e+03,-4.983576279911978418e+03,-1.554966311178096472e+00,-1.514990820981808817e+00,-7.735295747037060465e+00
