t,df,dr_track,r_cmd,r_track,beta_track,ay_track,r_ratio,beta_ratio,ay_ratio
1.890000000000000124e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623705968514434161e+00,4.885353633733587886e-01,-5.247435190855532738e+01,2.623713806934763193e-01,6.146498037356049049e-03,5.247427425394180389e+00
1.900000000000000133e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623706868580962581e+00,4.885352678494261358e-01,-5.247432919151074771e+01,2.623713817799144254e-01,6.146497953671932989e-03,5.247427446964271880e+00
1.910000000000000142e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623707682419169185e+00,4.885351892981937283e-01,-5.247431057642298668e+01,2.623713827059070414e-01,6.146497870473673075e-03,5.247427468271945727e+00
1.919999999999999929e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623708416074565175e+00,4.885351252692868851e-01,-5.247429546538707257e+01,2.623713834917859589e-01,6.146497788940876936e-03,5.247427489044876658e+00
1.929999999999999938e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623709075525812562e+00,4.885350736169732366e-01,-5.247428333544195311e+01,2.623713841556579718e-01,6.146497709972851241e-03,5.247427509077768448e+00
1.939999999999999947e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623709666606851343e+00,4.885350324675411526e-01,-5.247427373046961208e+01,2.623713847136057153e-01,6.146497634235217195e-03,5.247427528221059845e+00
1.949999999999999956e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623710194948064345e+00,4.885350001895187866e-01,-5.247426625381066145e+01,2.623713851798761820e-01,6.146497562200066780e-03,5.247427546371200791e+00
1.959999999999999964e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623710665933285391e+00,4.885349753665810257e-01,-5.247426056155564567e+01,2.623713855670568029e-01,6.146497494180441258e-03,5.247427563462321309e+00
1.969999999999999973e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623711084669890337e+00,4.885349567729819209e-01,-5.247425635646991537e+01,2.623713858862394277e-01,6.146497430359827534e-03,5.247427579459120750e+00
1.979999999999999982e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623711455969613304e+00,4.885349433513471729e-01,-5.247425338250906890e+01,2.623713861471718700e-01,6.146497370817284762e-03,5.247427594350808633e+00
1.989999999999999991e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623711784338064845e+00,4.885349341926600308e-01,-5.247425141988200892e+01,2.623713863583974071e-01,6.146497315548762365e-03,5.247427608145988742e+00
2.000000000000000000e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623712073971242287e+00,4.885349285182764012e-01,-5.247425028062004060e+01,2.623713865273828993e-01,6.146497264485096916e-03,5.247427620868331033e+00
2.010000000000000231e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623712328757568546e+00,4.885349256638085724e-01,-5.247424980461077837e+01,2.623713866606358636e-01,6.146497217507137199e-03,5.247427632552965626e+00
2.020000000000000018e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623712552284243493e+00,4.885349250647232355e-01,-5.247424985605805148e+01,2.623713867638108876e-01,6.146497174458368656e-03,5.247427643243458562e+00
2.030000000000000249e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623712747846872695e+00,4.885349262435063622e-01,-5.247425032033042669e+01,2.623713868418066086e-01,6.146497135155394587e-03,5.247427652989320457e+00
2.040000000000000036e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623712918461521326e+00,4.885349287982545530e-01,-5.247425110116306257e+01,2.623713868988531983e-01,6.146497099396571601e-03,5.247427661843962809e+00
2.049999999999999822e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713066878480049e+00,4.885349323925612941e-01,-5.247425211818004698e+01,2.623713869385911890e-01,6.146497066969056067e-03,5.247427669863029109e+00
2.060000000000000053e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713195597165981e+00,4.885349367465750547e-01,-5.247425330470608884e+01,2.623713869641426943e-01,6.146497037654512219e-03,5.247427677103050137e+00
2.069999999999999840e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713306881679141e+00,4.885349416291137059e-01,-5.247425460583895074e+01,2.623713869781749697e-01,6.146497011233665805e-03,5.247427683620387029e+00
2.080000000000000071e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713402776633785e+00,4.885349468507299009e-01,-5.247425597675616160e+01,2.623713869829575329e-01,6.146496987489891498e-03,5.247427689470392842e+00
2.089999999999999858e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713485122963540e+00,4.885349522576284409e-01,-5.247425738123160954e+01,2.623713869804127907e-01,6.146496966211986712e-03,5.247427694706776613e+00
2.100000000000000089e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713555573458311e+00,4.885349577263461418e-01,-5.247425879033949059e+01,2.623713869721615022e-01,6.146496947196261953e-03,5.247427699381129962e+00
2.109999999999999876e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713615607853544e+00,4.885349631591116015e-01,-5.247426018132536996e+01,2.623713869595625803e-01,6.146496930248063900e-03,5.247427703542586030e+00
2.120000000000000107e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713666547333734e+00,4.885349684798098169e-01,-5.247426153662550519e+01,2.623713869437488966e-01,6.146496915182829250e-03,5.247427707237592998e+00
2.129999999999999893e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713709568354702e+00,4.885349736304832602e-01,-5.247426284301770494e+01,2.623713869256584230e-01,6.146496901826757793e-03,5.247427710509773746e+00
2.140000000000000124e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713745715715806e+00,4.885349785683079094e-01,-5.247426409088859600e+01,2.623713869060618209e-01,6.146496890017172365e-03,5.247427713399869020e+00
2.149999999999999911e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713775914845225e+00,4.885349832629882205e-01,-5.247426527360297399e+01,2.623713868855866993e-01,6.146496879602629873e-03,5.247427715945720550e+00
2.160000000000000142e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713800983274336e+00,4.885349876945209724e-01,-5.247426638696364876e+01,2.623713868647387648e-01,6.146496870442833688e-03,5.247427718182319012e+00
2.169999999999999929e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713821641303845e+00,4.885349918512827405e-01,-5.247426742875001082e+01,2.623713868439203623e-01,6.146496862408395989e-03,5.247427720141879526e+00
